pm10,date (Europe/London)
73,2025-12-04 20:00:15.275000+00:00
73,2025-12-04 20:00:13.262000+00:00
73,2025-12-04 20:00:11.292000+00:00
73,2025-12-04 20:00:09.271000+00:00
73,2025-12-04 20:00:07.317000+00:00
73,2025-12-04 20:00:05.266000+00:00
76,2025-12-04 20:00:03.380000+00:00
76,2025-12-04 20:00:01.305000+00:00
76,2025-12-04 19:59:59.330000+00:00
76,2025-12-04 19:59:57.267000+00:00
76,2025-12-04 19:59:55.291000+00:00
76,2025-12-04 19:59:53.308000+00:00
80,2025-12-04 19:59:51.294000+00:00
80,2025-12-04 19:59:49.304000+00:00
68,2025-12-04 19:59:47.278000+00:00
68,2025-12-04 19:59:45.273000+00:00
68,2025-12-04 19:59:43.264000+00:00
68,2025-12-04 19:59:41.341000+00:00
68,2025-12-04 19:59:39.267000+00:00
68,2025-12-04 19:59:37.267000+00:00
68,2025-12-04 19:59:35.322000+00:00
68,2025-12-04 19:59:33.281000+00:00
67,2025-12-04 19:59:31.298000+00:00
67,2025-12-04 19:59:29.322000+00:00
67,2025-12-04 19:59:27.350000+00:00
67,2025-12-04 19:59:25.293000+00:00
67,2025-12-04 19:59:23.304000+00:00
67,2025-12-04 19:59:21.262000+00:00
65,2025-12-04 19:59:19.298000+00:00
65,2025-12-04 19:59:17.289000+00:00
53,2025-12-04 19:59:15.297000+00:00
53,2025-12-04 19:59:13.270000+00:00
53,2025-12-04 19:59:11.259000+00:00
53,2025-12-04 19:59:09.270000+00:00
53,2025-12-04 19:59:07.275000+00:00
53,2025-12-04 19:59:05.307000+00:00
52,2025-12-04 19:59:03.335000+00:00
52,2025-12-04 19:59:01.317000+00:00
53,2025-12-04 19:58:59.272000+00:00
53,2025-12-04 19:58:57.349000+00:00
51,2025-12-04 19:58:55.314000+00:00
51,2025-12-04 19:58:53.312000+00:00
51,2025-12-04 19:58:51.313000+00:00
51,2025-12-04 19:58:49.270000+00:00
51,2025-12-04 19:58:47.276000+00:00
51,2025-12-04 19:58:45.260000+00:00
53,2025-12-04 19:58:43.309000+00:00
53,2025-12-04 19:58:41.280000+00:00
47,2025-12-04 19:58:39.337000+00:00
47,2025-12-04 19:58:37.307000+00:00
47,2025-12-04 19:58:35.338000+00:00
47,2025-12-04 19:58:33.259000+00:00
47,2025-12-04 19:58:33.073000+00:00
47,2025-12-04 19:58:29.259000+00:00
45,2025-12-04 19:58:27.318000+00:00
45,2025-12-04 19:58:25.262000+00:00
45,2025-12-04 19:58:23.299000+00:00
45,2025-12-04 19:58:21.272000+00:00
45,2025-12-04 19:58:19.262000+00:00
45,2025-12-04 19:58:17.345000+00:00
46,2025-12-04 19:58:15.281000+00:00
46,2025-12-04 19:58:14.591000+00:00
42,2025-12-04 19:58:11.300000+00:00
42,2025-12-04 19:58:09.278000+00:00
42,2025-12-04 19:58:07.456000+00:00
42,2025-12-04 19:58:05.421000+00:00
42,2025-12-04 19:58:03.297000+00:00
42,2025-12-04 19:58:01.321000+00:00
43,2025-12-04 19:57:59.303000+00:00
43,2025-12-04 19:57:57.271000+00:00
40,2025-12-04 19:57:55.340000+00:00
40,2025-12-04 19:57:53.268000+00:00
40,2025-12-04 19:57:51.263000+00:00
40,2025-12-04 19:57:49.259000+00:00
40,2025-12-04 19:57:47.268000+00:00
40,2025-12-04 19:57:45.290000+00:00
40,2025-12-04 19:57:43.263000+00:00
39,2025-12-04 19:57:41.327000+00:00
35,2025-12-04 19:57:39.323000+00:00
35,2025-12-04 19:57:37.267000+00:00
35,2025-12-04 19:57:35.263000+00:00
35,2025-12-04 19:57:33.265000+00:00
35,2025-12-04 19:57:31.324000+00:00
35,2025-12-04 19:57:29.263000+00:00
35,2025-12-04 19:57:27.398000+00:00
37,2025-12-04 19:57:25.258000+00:00
37,2025-12-04 19:57:23.304000+00:00
37,2025-12-04 19:57:21.258000+00:00
37,2025-12-04 19:57:19.315000+00:00
37,2025-12-04 19:57:17.320000+00:00
37,2025-12-04 19:57:15.311000+00:00
37,2025-12-04 19:57:13.299000+00:00
37,2025-12-04 19:57:11.265000+00:00
32,2025-12-04 19:57:09.316000+00:00
32,2025-12-04 19:57:07.311000+00:00
32,2025-12-04 19:57:05.308000+00:00
32,2025-12-04 19:57:03.262000+00:00
32,2025-12-04 19:57:01.260000+00:00
32,2025-12-04 19:56:59.258000+00:00
32,2025-12-04 19:56:57.301000+00:00
32,2025-12-04 19:56:55.289000+00:00
32,2025-12-04 19:56:53.305000+00:00
32,2025-12-04 19:56:51.264000+00:00
32,2025-12-04 19:56:49.267000+00:00
32,2025-12-04 19:56:47.269000+00:00
32,2025-12-04 19:56:45.319000+00:00
32,2025-12-04 19:56:43.341000+00:00
32,2025-12-04 19:56:41.321000+00:00
32,2025-12-04 19:56:39.300000+00:00
33,2025-12-04 19:56:37.351000+00:00
33,2025-12-04 19:56:35.348000+00:00
33,2025-12-04 19:56:33.267000+00:00
33,2025-12-04 19:56:31.302000+00:00
33,2025-12-04 19:56:29.305000+00:00
33,2025-12-04 19:56:27.276000+00:00
33,2025-12-04 19:56:25.280000+00:00
33,2025-12-04 19:56:23.275000+00:00
29,2025-12-04 19:56:21.331000+00:00
29,2025-12-04 19:56:19.326000+00:00
29,2025-12-04 19:56:17.280000+00:00
32,2025-12-04 19:56:15.276000+00:00
32,2025-12-04 19:56:13.266000+00:00
32,2025-12-04 19:56:11.312000+00:00
32,2025-12-04 19:56:09.258000+00:00
32,2025-12-04 19:56:07.284000+00:00
31,2025-12-04 19:56:05.271000+00:00
31,2025-12-04 19:56:03.269000+00:00
31,2025-12-04 19:56:01.260000+00:00
31,2025-12-04 19:55:59.319000+00:00
29,2025-12-04 19:55:57.270000+00:00
29,2025-12-04 19:55:55.290000+00:00
29,2025-12-04 19:55:53.324000+00:00
29,2025-12-04 19:55:51.303000+00:00
27,2025-12-04 19:55:49.352000+00:00
27,2025-12-04 19:55:47.263000+00:00
26,2025-12-04 19:55:45.298000+00:00
26,2025-12-04 19:55:43.291000+00:00
26,2025-12-04 19:55:41.274000+00:00
26,2025-12-04 19:55:39.290000+00:00
26,2025-12-04 19:55:37.323000+00:00
26,2025-12-04 19:55:35.290000+00:00
26,2025-12-04 19:55:33.290000+00:00
26,2025-12-04 19:55:31.324000+00:00
28,2025-12-04 19:55:29.263000+00:00
28,2025-12-04 19:55:27.302000+00:00
28,2025-12-04 19:55:25.272000+00:00
28,2025-12-04 19:55:23.348000+00:00
28,2025-12-04 19:55:21.259000+00:00
28,2025-12-04 19:55:19.277000+00:00
28,2025-12-04 19:55:17.441000+00:00
30,2025-12-04 19:55:15.387000+00:00
29,2025-12-04 19:55:13.291000+00:00
29,2025-12-04 19:55:11.260000+00:00
29,2025-12-04 19:55:09.288000+00:00
29,2025-12-04 19:55:07.279000+00:00
29,2025-12-04 19:55:05.312000+00:00
29,2025-12-04 19:55:03.371000+00:00
29,2025-12-04 19:55:01.297000+00:00
27,2025-12-04 19:54:59.272000+00:00
24,2025-12-04 19:54:57.349000+00:00
24,2025-12-04 19:54:55.273000+00:00
24,2025-12-04 19:54:53.272000+00:00
25,2025-12-04 19:54:51.266000+00:00
25,2025-12-04 19:54:49.270000+00:00
25,2025-12-04 19:54:47.361000+00:00
25,2025-12-04 19:54:45.295000+00:00
27,2025-12-04 19:54:43.259000+00:00
27,2025-12-04 19:54:41.277000+00:00
27,2025-12-04 19:54:39.301000+00:00
27,2025-12-04 19:54:37.272000+00:00
27,2025-12-04 19:54:35.265000+00:00
27,2025-12-04 19:54:33.304000+00:00
27,2025-12-04 19:54:31.273000+00:00
26,2025-12-04 19:54:29.304000+00:00
25,2025-12-04 19:54:27.357000+00:00
25,2025-12-04 19:54:25.272000+00:00
25,2025-12-04 19:54:23.263000+00:00
25,2025-12-04 19:54:21.290000+00:00
25,2025-12-04 19:54:19.292000+00:00
25,2025-12-04 19:54:17.267000+00:00
24,2025-12-04 19:54:15.355000+00:00
25,2025-12-04 19:54:13.378000+00:00
25,2025-12-04 19:54:11.272000+00:00
25,2025-12-04 19:54:09.287000+00:00
25,2025-12-04 19:54:07.290000+00:00
25,2025-12-04 19:54:05.269000+00:00
25,2025-12-04 19:54:03.261000+00:00
26,2025-12-04 19:54:01.292000+00:00
26,2025-12-04 19:53:59.262000+00:00
26,2025-12-04 19:53:57.266000+00:00
26,2025-12-04 19:53:55.288000+00:00
26,2025-12-04 19:53:53.305000+00:00
26,2025-12-04 19:53:51.299000+00:00
26,2025-12-04 19:53:49.299000+00:00
25,2025-12-04 19:53:47.298000+00:00
25,2025-12-04 19:53:45.349000+00:00
25,2025-12-04 19:53:43.272000+00:00
25,2025-12-04 19:53:41.282000+00:00
25,2025-12-04 19:53:39.301000+00:00
25,2025-12-04 19:53:37.313000+00:00
25,2025-12-04 19:53:35.332000+00:00
21,2025-12-04 19:53:33.291000+00:00
21,2025-12-04 19:53:31.274000+00:00
21,2025-12-04 19:53:29.270000+00:00
21,2025-12-04 19:53:27.334000+00:00
21,2025-12-04 19:53:25.355000+00:00
21,2025-12-04 19:53:23.263000+00:00
21,2025-12-04 19:53:21.275000+00:00
20,2025-12-04 19:53:19.262000+00:00
20,2025-12-04 19:53:17.289000+00:00
20,2025-12-04 19:53:15.317000+00:00
20,2025-12-04 19:53:13.257000+00:00
20,2025-12-04 19:53:11.283000+00:00
20,2025-12-04 19:53:09.278000+00:00
20,2025-12-04 19:53:07.303000+00:00
19,2025-12-04 19:53:05.306000+00:00
19,2025-12-04 19:53:03.271000+00:00
19,2025-12-04 19:53:01.263000+00:00
19,2025-12-04 19:52:59.368000+00:00
19,2025-12-04 19:52:57.263000+00:00
19,2025-12-04 19:52:55.315000+00:00
19,2025-12-04 19:52:53.274000+00:00
21,2025-12-04 19:52:51.282000+00:00
21,2025-12-04 19:52:49.261000+00:00
21,2025-12-04 19:52:47.339000+00:00
21,2025-12-04 19:52:45.294000+00:00
21,2025-12-04 19:52:43.308000+00:00
21,2025-12-04 19:52:41.269000+00:00
21,2025-12-04 19:52:39.281000+00:00
23,2025-12-04 19:52:37.269000+00:00
